Latitude,Longitude,Timestamp,geometry,matched_road
22.292193670168768,73.28249529004097,2024-09-02T16:57:36.735Z,POINT (73.28249529004097 22.292193670168768),POINT (73.28249636303603 22.292285801203363)
22.29218994755197,73.28290432691574,2024-09-02T16:57:47.826Z,POINT (73.28290432691574 22.29218994755197),POINT (73.28290538778631 22.292281037536696)
22.292166681194796,73.28333348035812,2024-09-02T16:57:56.243Z,POINT (73.28333348035812 22.292166681194796),POINT (73.2833347539594 22.29227603696564)
22.292162958577286,73.28386422246695,2024-09-02T16:58:05.939Z,POINT (73.28386422246695 22.292162958577286),POINT (73.28386546743803 22.292269856063122)
22.292176918392432,73.28430511057377,2024-09-02T16:58:15.832Z,POINT (73.28430511057377 22.292176918392432),POINT (73.28430613319192 22.292264723892604)
22.29224175396005,73.28473158180714,2024-09-02T16:58:24.748Z,POINT (73.28473158180714 22.29224175396005),POINT (73.28473179158846 22.292259766503804)
22.292314655160425,73.28512787818909,2024-09-02T16:58:36.127Z,POINT (73.28512787818909 22.292314655160425),POINT (73.28512810820409 22.292338069515083)
22.29235622433852,73.28576993197203,2024-09-02T16:58:57.713Z,POINT (73.28576993197203 22.29235622433852),POINT (73.28576998186666 22.29235590307406)
22.29244773853029,73.2863013446331,2024-09-02T16:59:08.853Z,POINT (73.2863013446331 22.29244773853029),POINT (73.28630275665027 22.29243864675249)
22.29255290222244,73.28685790300369,2024-09-02T16:59:19.690Z,POINT (73.28685790300369 22.29255290222244),POINT (73.28686190108455 22.29253106677569)
22.292657135184346,73.28741647303104,2024-09-02T16:59:31.348Z,POINT (73.28741647303104 22.292657135184346),POINT (73.28742081808527 22.29263340474882)
22.2927641600197,73.28801427036524,2024-09-02T16:59:41.800Z,POINT (73.28801427036524 22.2927641600197),POINT (73.28801818453806 22.29274278283522)
22.292837681380835,73.28861776739359,2024-09-02T16:59:52.477Z,POINT (73.28861776739359 22.292837681380835),POINT (73.2886151302871 22.29285208389056)
22.292938501749905,73.28915789723396,2024-09-02T17:00:02.750Z,POINT (73.28915789723396 22.292938501749905),POINT (73.28915560069014 22.292951044282734)
22.293131146006655,73.29018987715244,2024-09-02T17:02:27.086Z,POINT (73.29018987715244 22.293131146006655),POINT (73.29018823402002 22.293140119944827)
22.293223590338325,73.29064786434174,2024-09-02T17:02:57.350Z,POINT (73.29064786434174 22.293223590338325),POINT (73.29064774243002 22.293224256156922)
22.29332192870454,73.29124096781015,2024-09-02T17:03:30.808Z,POINT (73.29124096781015 22.29332192870454),POINT (73.29123898531968 22.29333267223983)
22.293419956786224,73.29170197248459,2024-09-02T17:03:46.032Z,POINT (73.29170197248459 22.293419956786224),POINT (73.2917023026448 22.293418167578206)
22.29348293048596,73.29216197133064,2024-09-02T17:04:00.667Z,POINT (73.29216197133064 22.29348293048596),POINT (73.29215839360253 22.2935023258445)
22.293638037999763,73.29289890825748,2024-09-02T17:04:19.906Z,POINT (73.29289890825748 22.293638037999763),POINT (73.2926488 22.2935934)
22.29371155890116,73.29343032091856,2024-09-02T17:04:31.981Z,POINT (73.29343032091856 22.29371155890116),POINT (73.2926488 22.2935934)
22.29384650222712,73.29396408051252,2024-09-02T17:05:04.362Z,POINT (73.29396408051252 22.29384650222712),POINT (73.2926488 22.2935934)
